MEMs for Pattern 1
============================================

MEMs for Pattern 2
============================================

MEMs for Pattern 3
============================================
MEM (start=591, end=601, len=10)
MEM (start=596, end=607, len=11)
MEM (start=605, end=618, len=13)
MEM (start=613, end=623, len=10)
MEM (start=614, end=624, len=10)
MEM (start=620, end=630, len=10)
MEM (start=635, end=645, len=10)
MEM (start=650, end=666, len=16)
MEM (start=663, end=673, len=10)
MEM (start=664, end=674, len=10)
MEM (start=669, end=679, len=10)
MEM (start=675, end=685, len=10)
MEM (start=683, end=693, len=10)
MEM (start=688, end=708, len=20)
MEM (start=715, end=725, len=10)
MEM (start=743, end=754, len=11)
MEM (start=745, end=755, len=10)
MEM (start=746, end=756, len=10)
MEM (start=749, end=759, len=10)
MEM (start=755, end=765, len=10)
MEM (start=764, end=774, len=10)
MEM (start=812, end=822, len=10)
MEM (start=813, end=823, len=10)
MEM (start=819, end=842, len=23)
MEM (start=834, end=844, len=10)
MEM (start=851, end=861, len=10)
MEM (start=879, end=890, len=11)
MEM (start=912, end=922, len=10)
